CODGEO;LIBGEO;NBMEN15;NBPERS15;NBUC15;PMIMP15;Q115;Q215;Q315;Q3_Q1;D115;D215;D315;D415;D615;D715;D815;D915;RD;S80S2015;GI15;PACT15;PTSA15;PCHO15;PBEN15;PPEN15;PAUT15
01053;Bourg-en-Bresse;18632,0;38006,0;27044,8;50;9962,0;17487,0;25658,0;15696,0;4524,0;8410,0;11436,0;14616,0;20408,0;23654,0;28178,0;35802,0;7,9;10,3;0,4;62,7;55,7;3,5;3,6;33,2;4,1
01054;Bourg-Saint-Christophe;502,0;1400,5;887,3;;;24448,0;;;;;;;;;;;;;;;;;;;
01056;Boyeux-Saint-Jérôme;146,0;340,5;230,0;;;20524,0;;;;;;;;;;;;;;;;;;;
01057;Boz;199,0;506,5;333,6;;;19562,0;;;;;;;;;;;;;;;;;;;
01058;Brégnier-Cordon;339,0;826,5;550,1;;;19838,0;;;;;;;;;;;;;;;;;;;
01059;Brénaz;43,0;105,0;70,8;;;19398,0;;;;;;;;;;;;;;;;;;;
01060;Brénod;238,0;539,0;372,7;;;22164,0;;;;;;;;;;;;;;;;;;;
01061;Brens;429,0;1184,0;760,3;;;23074,0;;;;;;;;;;;;;;;;;;;
01062;Bressolles;332,0;887,5;571,0;;;27030,0;;;;;;;;;;;;;;;;;;;
01063;Brion;210,0;512,5;345,1;;;22362,0;;;;;;;;;;;;;;;;;;;
01064;Briord;391,0;960,5;638,7;;;20036,0;;;;;;;;;;;;;;;;;;;
01065;Buellas;718,0;1850,5;1219,2;;;24194,0;;;;;;;;;;;;;;;;;;;
01067;Ceignes;103,0;262,5;172,4;;;21906,0;;;;;;;;;;;;;;;;;;;
01068;Cerdon;297,0;683,5;466,2;;;19662,0;;;;;;;;;;;;;;;;;;;
01069;Certines;599,0;1499,5;998,9;;;23082,0;;;;;;;;;;;;;;;;;;;
01071;Cessy;1796,0;4534,0;2966,0;62;22106,0;38190,0;58202,0;36096,0;11216,0;19330,0;25380,0;31464,0;46150,0;53512,0;64632,0;82736,0;7,4;9,7;0,4;84,4;79,5;2,8;2,1;11,6;4,0
