CODGEO;LIBGEO;C15_ACTOCC15P_ILT1;C15_ACTOCC15P_ILTAUT;C15_ACTOCC15P
01001;L'Abergement-Clémenciat;75;295;370
01002;L'Abergement-de-Varey;10;94;104
01004;Ambérieu-en-Bugey;2374;3307;5681
01005;Ambérieux-en-Dombes;135;660;795
01006;Ambléon;0;55;55
01007;Ambronay;178;1051;1229
01008;Ambutrix;36;354;390
01009;Andert-et-Condon;12;118;130
01010;Anglefort;112;396;508
01011;Apremont;21;114;135
01012;Aranc;30;95;125
01013;Arandas;11;80;90
01014;Arbent;508;730;1239
01015;Arboys en Bugey;36;210;247
01016;Arbigny;15;170;185
01017;Argis;15;104;119
01019;Armix;10;0;10
01021;Ars-sur-Formans;139;488;627
01022;Artemare;124;345;469
01023;Asnières-sur-Saône;15;29;44
01024;Attignat;259;1264;1524
01025;Bâgé-la-Ville;255;1233;1488
01026;Bâgé-le-Châtel;56;256;313
01027;Balan;912;1115;2027
01028;Baneins;35;260;295
01029;Beaupont;30;233;262
01030;Beauregard;20;370;390
01031;Bellignat;428;982;1410
01032;Béligneux;520;989;1509
01033;Bellegarde-sur-Valserine;1963;2743;4707
01034;Belley;2047;1272;3320
01035;Belleydoux;25;125;150
01036;Belmont-Luthézieu;29;226;254
01037;Bénonces;29;79;108
01038;Bény;44;304;348
01039;Béon;21;182;203
01040;Béréziat;55;210;265
01041;Bettant;40;303;343
01042;Bey;39;133;172
01043;Beynost;374;1572;1946
01044;Billiat;45;233;278
01045;Birieux;25;107;131
01046;Biziat;62;373;435
01047;Blyes;110;425;535
01049;La Boisse;305;1085;1390
01050;Boissey;10;160;170
01051;Bolozon;0;35;35
01052;Bouligneux;33;104;137
01053;Bourg-en-Bresse;9545;5089;14635
01054;Bourg-Saint-Christophe;98;543;642
01056;Boyeux-Saint-Jérôme;26;131;157
01057;Boz;30;185;215
01058;Brégnier-Cordon;75;265;340
01059;Brénaz;19;52;71
01060;Brénod;53;179;232
01061;Brens;65;470;535
01062;Bressolles;77;369;446
01063;Brion;40;160;200
01064;Briord;150;330;480
01065;Buellas;106;751;858
01066;La Burbanche;0;15;15
01067;Ceignes;0;131;131
01068;Cerdon;90;260;350
01069;Certines;95;679;774
01071;Cessy;293;2148;2440
01072;Ceyzériat;292;1117;1409
01073;Ceyzérieu;89;364;453
01074;Chalamont;240;826;1066
01075;Chaleins;105;485;590
01076;Chaley;0;50;50
01077;Challes-la-Montagne;15;78;93
01078;Challex;105;505;610
01079;Champagne-en-Valromey;130;174;304
01080;Champdor-Corcelles;41;229;270
01081;Champfromier;149;258;408
01082;Chanay;45;223;267
01083;Chaneins;78;397;476
01084;Chanoz-Châtenay;60;310;370
01085;La Chapelle-du-Châtelard;20;153;173
01087;Charix;25;105;130
01088;Charnoz-sur-Ain;87;446;532
01089;Château-Gaillard;149;786;935
01090;Châtenay;35;134;169
01091;Châtillon-en-Michaille;465;1161;1627
01092;Châtillon-la-Palud;144;595;739
01093;Châtillon-sur-Chalaronne;788;1214;2003
01094;Chavannes-sur-Reyssouze;45;257;303
01095;Nivigne et Suran;65;233;298
01096;Chaveyriat;83;440;523
01097;Chavornay;10;99;109
01098;Chazey-Bons;99;322;421
01099;Chazey-sur-Ain;140;605;745
01100;Cheignieu-la-Balme;5;55;60
01101;Chevillard;15;70;85
01102;Chevroux;82;417;499
01103;Chevry;78;755;833
01104;Chézery-Forens;95;145;240
01105;Civrieux;100;697;797
01106;Cize;20;44;64
01107;Cleyzieu;5;55;60
01108;Coligny;101;384;486
01109;Collonges;156;934;1091
01110;Colomieu;25;40;65
01111;Conand;5;55;60
01112;Condamine;25;215;240
01113;Condeissiat;70;306;376
01114;Confort;72;174;246
01115;Confrançon;115;554;669
01116;Contrevoz;25;178;203
01117;Conzieu;10;65;74
01118;Corbonod;137;358;496
01121;Corlier;0;54;54
01122;Cormaranche-en-Bugey;60;288;348
01123;Cormoranche-sur-Saône;64;424;488
01124;Cormoz;35;230;265
01125;Corveissiat;70;166;236
01127;Courmangoux;48;171;219
01128;Courtes;25;110;135
01129;Crans;20;115;135
01130;Cras-sur-Reyssouze;94;578;672
01133;Cressin-Rochefort;25;135;160
01134;Crottet;110;657;766
01135;Crozet;155;903;1058
01136;Cruzilles-lès-Mépillat;50;335;385
01138;Culoz;520;660;1180
01139;Curciat-Dongalon;81;101;182
01140;Curtafond;50;301;351
01141;Cuzieu;19;146;166
01142;Dagneux;486;1730;2216
01143;Divonne-les-Bains;939;3239;4178
01144;Dommartin;35;375;410
01145;Dompierre-sur-Veyle;113;378;490
01146;Dompierre-sur-Chalaronne;25;190;215
01147;Domsure;49;153;202
01148;Dortan;170;620;790
01149;Douvres;60;425;485
01150;Drom;35;89;123
01151;Druillat;85;465;550
01152;Échallon;40;321;361
01153;Échenevex;121;891;1012
01154;Étrez;83;319;402
01155;Évosges;10;50;60
01156;Faramans;58;330;388
01157;Fareins;159;871;1030
01158;Farges;45;450;495
01159;Feillens;389;1129;1518
01160;Ferney-Voltaire;1212;3423;4635
01162;Flaxieu;0;26;26
01163;Foissiat;170;775;945
01165;Francheleins;75;680;755
01166;Frans;136;1014;1149
01167;Garnerans;52;290;343
01169;Genouilleux;24;256;280
01170;Béard-Géovreissiat;41;490;532
01171;Géovreisset;59;359;418
01173;Gex;1485;4587;6072
01174;Giron;30;55;85
01175;Gorrevod;81;298;379
01177;Grand-Corent;10;60;70
01179;Grièges;175;735;910
01180;Grilly;70;250;320
01181;Groissiat;107;500;607
01183;Guéreins;149;498;647
01184;Hautecourt-Romanèche;85;255;340
01185;Hauteville-Lompnes;1043;344;1387
01186;Hostiaz;16;28;45
01187;Haut Valromey;186;156;342
01188;Illiat;30;265;295
01189;Injoux-Génissiat;110;423;533
01190;Innimond;30;18;48
01191;Izenave;16;86;102
01192;Izernore;358;701;1058
01193;Izieu;10;83;93
01194;Jassans-Riottier;460;2175;2635
01195;Jasseron;133;644;776
01196;Jayat;69;413;481
01197;Journans;15;170;185
01198;Joyeux;25;114;140
01199;Jujurieux;190;751;941
01200;Labalme;20;70;90
01202;Lagnieu;782;2070;2852
01203;Laiz;104;461;565
01204;Le Poizat-Lalleyriat;45;266;310
01205;Lancrans;53;424;477
01206;Lantenay;0;140;140
01207;Lapeyrouse;42;131;173
01208;Lavours;0;30;30
01209;Léaz;25;300;326
01210;Lélex;75;39;114
01211;Lent;97;616;713
01212;Lescheroux;65;235;300
01213;Leyment;86;505;591
01214;Leyssard;10;70;80
01215;Lhôpital;4;15;19
01216;Lhuis;105;264;369
01218;Lochieu;21;21;43
01219;Lompnas;25;35;60
01221;Lompnieu;20;14;33
01224;Loyettes;170;1225;1395
01225;Lurcy;5;179;184
01227;Magnieu;15;190;205
01228;Maillat;103;203;306
01229;Malafretaz;123;449;573
01230;Mantenay-Montlin;16;112;128
01231;Manziat;184;710;894
01232;Marboz;230;725;956
01233;Marchamp;0;40;40
01234;Marignieu;30;60;91
01235;Marlieux;90;355;445
01236;Marsonnas;65;390;455
01237;Martignat;106;643;750
01238;Massieux;135;1000;1135
01239;Massignieu-de-Rives;41;252;293
01240;Matafelon-Granges;30;261;291
01241;Meillonnas;130;442;572
01242;Mérignat;19;31;50
01243;Messimy-sur-Saône;109;518;628
01244;Meximieux;830;2530;3360
01245;Bohas-Meyriat-Rignat;65;344;409
01246;Mézériat;140;760;900
01247;Mijoux;75;75;150
01248;Mionnay;140;1001;1141
01249;Miribel;1120;3170;4290
01250;Misérieux;94;834;927
01252;Mogneneins;50;248;298
01254;Montagnat;149;734;883
01255;Montagnieu;35;236;271
01257;Montanges;20;155;176
01258;Montceaux;76;501;577
01259;Montcet;15;290;305
01260;Le Montellier;45;105;150
01261;Monthieux;56;305;361
01262;Montluel;707;2476;3183
01263;Montmerle-sur-Saône;270;1380;1650
01264;Montracol;45;453;498
01265;Montréal-la-Cluse;380;965;1345
01266;Montrevel-en-Bresse;300;650;950
01267;Nurieux-Volognat;95;434;529
01268;Murs-et-Gélignieux;30;81;111
01269;Nantua;478;855;1333
01272;Neuville-les-Dames;159;537;696
01273;Neuville-sur-Ain;117;652;769
01274;Les Neyrolles;35;226;261
01275;Neyron;187;935;1122
01276;Niévroz;138;673;810
01277;Nivollet-Montgriffon;16;36;52
01279;Oncieu;0;33;33
01280;Ordonnaz;5;32;38
01281;Ornex;267;1760;2027
01282;Outriaz;51;72;123
01283;Oyonnax;5015;3092;8107
01284;Ozan;70;235;305
01285;Parcieux;73;515;587
01286;Parves et Nattages;50;350;400
01288;Péron;211;1055;1266
01289;Péronnas;510;1952;2462
01290;Pérouges;135;375;510
01291;Perrex;43;304;348
01293;Peyriat;16;65;82
01294;Peyrieu;79;338;417
01295;Peyzieux-sur-Saône;39;290;329
01296;Pirajoux;10;152;162
01297;Pizay;48;342;390
01298;Plagne;10;60;71
01299;Le Plantay;16;198;214
01301;Polliat;134;979;1113
01302;Pollieu;10;55;65
01303;Poncin;248;451;699
01304;Pont-d'Ain;280;880;1160
01305;Pont-de-Vaux;304;557;861
01306;Pont-de-Veyle;103;569;672
01307;Port;90;315;404
01308;Pougny;30;379;408
01309;Pouillat;10;16;26
01310;Prémeyzel;5;45;50
01311;Prémillieu;0;17;17
01313;Prévessin-Moëns;495;3295;3790
01314;Priay;122;663;785
01317;Ramasse;15;128;143
01318;Rancé;56;279;334
01319;Relevant;35;200;235
01320;Replonges;295;1345;1640
01321;Revonnas;33;407;440
01322;Reyrieux;449;1516;1965
01323;Reyssouze;90;353;443
01325;Rignieux-le-Franc;65;388;453
01328;Romans;30;237;267
01329;Rossillon;20;59;78
01330;Ruffieu;35;55;90
01331;Saint-Alban;25;85;110
01332;Saint-André-de-Bâgé;25;357;382
01333;Saint-André-de-Corcy;275;1094;1369
01334;Saint-André-d'Huiriat;37;240;277
01335;Saint-André-le-Bouchoux;52;109;161
01336;Saint-André-sur-Vieux-Jonc;90;400;490
01337;Saint-Bénigne;69;442;511
01338;Groslée-Saint-Benoit;155;335;490
01339;Saint-Bernard;45;564;609
01341;Saint-Champ;21;62;83
01342;Sainte-Croix;40;220;260
01343;Saint-Cyr-sur-Menthon;147;614;762
01344;Saint-Denis-lès-Bourg;434;1882;2316
01345;Saint-Denis-en-Bugey;180;860;1040
01346;Saint-Didier-d'Aussiat;60;330;390
01347;Saint-Didier-de-Formans;120;710;830
01348;Saint-Didier-sur-Chalaronne;408;741;1150
01349;Saint-Éloi;25;208;232
01350;Saint-Étienne-du-Bois;212;853;1065
01351;Saint-Étienne-sur-Chalaronne;89;687;776
01352;Saint-Étienne-sur-Reyssouze;20;188;208
01353;Sainte-Euphémie;114;687;800
01354;Saint-Genis-Pouilly;993;4327;5320
01355;Saint-Genis-sur-Menthon;20;220;241
01356;Saint-Georges-sur-Renon;17;84;100
01357;Saint-Germain-de-Joux;45;160;205
01358;Saint-Germain-les-Paroisses;10;177;186
01359;Saint-Germain-sur-Renon;45;74;119
01360;Saint-Jean-de-Gonville;55;730;785
01361;Saint-Jean-de-Niost;80;616;696
01362;Saint-Jean-de-Thurigneux;55;297;352
01363;Saint-Jean-le-Vieux;145;600;745
01364;Saint-Jean-sur-Reyssouze;56;267;322
01365;Saint-Jean-sur-Veyle;89;399;488
01366;Sainte-Julie;58;453;511
01367;Saint-Julien-sur-Reyssouze;92;189;281
01368;Saint-Julien-sur-Veyle;67;324;391
01369;Saint-Just;39;337;376
01370;Saint-Laurent-sur-Saône;116;699;816
01371;Saint-Marcel;73;680;752
01372;Saint-Martin-de-Bavel;20;173;193
01373;Saint-Martin-du-Frêne;105;420;525
01374;Saint-Martin-du-Mont;142;747;890
01375;Saint-Martin-le-Châtel;50;314;364
01376;Saint-Maurice-de-Beynost;310;1374;1683
01378;Saint-Maurice-de-Gourdans;225;979;1204
01379;Saint-Maurice-de-Rémens;40;315;355
01380;Saint-Nizier-le-Bouchoux;75;185;260
01381;Saint-Nizier-le-Désert;75;314;388
01382;Sainte-Olive;15;136;152
01383;Saint-Paul-de-Varax;152;540;692
01384;Saint-Rambert-en-Bugey;250;649;899
01385;Saint-Rémy;69;436;506
01386;Saint-Sorlin-en-Bugey;90;465;555
01387;Saint-Sulpice;20;90;110
01388;Saint-Trivier-de-Courtes;141;226;367
01389;Saint-Trivier-sur-Moignans;154;585;739
01390;Saint-Vulbas;223;247;471
01391;Salavre;31;68;100
01392;Samognat;31;303;333
01393;Sandrans;15;262;277
01396;Sault-Brénaz;72;359;431
01397;Sauverny;65;447;512
01398;Savigneux;107;551;659
01399;Ségny;91;921;1012
01400;Seillonnaz;10;50;60
01401;Sergy;60;895;955
01402;Sermoyer;74;238;312
01403;Serrières-de-Briord;90;380;470
01404;Serrières-sur-Ain;5;29;33
01405;Servas;120;454;574
01406;Servignat;17;50;67
01407;Seyssel;86;376;461
01408;Simandre-sur-Suran;87;268;355
01410;Sonthonnax-la-Montagne;9;169;179
01411;Souclin;0;120;120
01412;Sulignat;19;247;267
01413;Surjoux;4;43;47
01414;Sutrieu;25;59;84
01415;Talissieu;15;185;200
01416;Tenay;91;304;395
01417;Thézillieu;20;101;121
01418;Thil;83;408;491
01419;Thoiry;489;2446;2935
01420;Thoissey;155;495;650
01421;Torcieu;110;175;284
01422;Tossiat;122;520;642
01423;Toussieux;50;414;464
01424;Tramoyes;80;800;880
01425;La Tranclière;26;97;123
01426;Val-Revermont;305;815;1120
01427;Trévoux;828;2176;3004
01428;Valeins;0;44;44
01429;Vandeins;74;265;339
01430;Varambon;45;205;250
01431;Vaux-en-Bugey;109;453;562
01432;Verjon;16;85;101
01433;Vernoux;60;85;145
01434;Versailleux;54;165;219
01435;Versonnex;114;876;989
01436;Vesancy;36;215;251
01437;Vescours;31;73;104
01439;Vésines;0;71;71
01441;Vieu-d'Izenave;68;254;323
01442;Vieu;25;169;194
01443;Villars-les-Dombes;585;1333;1918
01444;Villebois;90;488;578
01445;Villemotier;35;262;297
01446;Villeneuve;136;615;752
01447;Villereversure;138;338;476
01448;Villes;38;145;183
01449;Villette-sur-Ain;44;267;310
01450;Villieu-Loyes-Mollon;288;1237;1525
01451;Viriat;790;1950;2740
01452;Virieu-le-Grand;144;265;409
01453;Virieu-le-Petit;51;61;112
01454;Virignin;35;419;454
01456;Vongnes;0;5;5
01457;Vonnas;360;822;1182
02001;Abbécourt;50;150;200
02002;Achery;45;202;247
02003;Acy;90;316;406
02004;Agnicourt-et-Séchelles;15;40;55
02005;Aguilcourt;41;145;187
02006;Aisonville-et-Bernoville;10;85;95
02007;Aizelles;15;58;73
02008;Aizy-Jouy;10;158;168
02009;Alaincourt;25;195;220
02010;Allemant;10;63;73
02011;Ambleny;79;381;460
02012;Ambrief;10;30;39
02013;Amifontaine;45;140;185
02014;Amigny-Rouy;35;205;240
02015;Ancienville;0;41;41
02016;Andelain;31;93;124
02017;Anguilcourt-le-Sart;20;79;99
02018;Anizy-le-Château;237;478;715
02019;Annois;20;117;138
02020;Any-Martin-Rieux;55;165;220
02021;Archon;10;15;24
02022;Arcy-Sainte-Restitue;35;125;160
02023;Armentières-sur-Ourcq;8;35;43
02024;Arrancy;5;10;15
02025;Artemps;10;159;169
02027;Assis-sur-Serre;10;84;94
02028;Athies-sous-Laon;192;917;1109
02029;Attilly;10;185;195
02030;Aubencheul-aux-Bois;16;111;127
02031;Aubenton;75;138;212
02032;Aubigny-aux-Kaisnes;24;73;97
02033;Aubigny-en-Laonnois;4;31;35
02034;Audignicourt;14;41;54
02035;Audigny;20;74;94
02036;Augy;0;25;25
02037;Aulnois-sous-Laon;80;509;588
02038;Les Autels;0;22;22
02039;Autremencourt;15;55;70
02040;Autreppes;20;36;57
02041;Autreville;45;256;301
02042;Azy-sur-Marne;46;137;183
02043;Bagneux;0;30;30
02044;Bancigny;0;5;5
02046;Barenton-Bugny;31;231;263
02047;Barenton-Cel;26;36;62
02048;Barenton-sur-Serre;5;53;58
02049;Barisis-aux-Bois;28;272;299
02050;Barzy-en-Thiérache;25;100;125
02051;Barzy-sur-Marne;60;124;184
02052;Bassoles-Aulers;12;37;49
02053;Vallées en Champagne;59;197;256
02054;Bazoches-sur-Vesles;70;146;216
02055;Beaumé;8;20;27
02056;Beaumont-en-Beine;10;49;58
02057;Beaurevoir;137;400;537
02058;Beaurieux;92;266;357
02059;Beautor;168;619;787
02060;Beauvois-en-Vermandois;24;96;120
02061;Becquigny;11;92;103
02062;Belleau;20;25;46
02063;Bellenglise;8;126;134
02064;Belleu;172;1006;1178
02065;Bellicourt;36;198;234
02066;Benay;25;94;118
02067;Bergues-sur-Sambre;20;65;85
02068;Berlancourt;5;45;50
02069;Berlise;8;47;55
02070;Bernot;15;160;175
02071;Berny-Rivière;50;263;313
02072;Berrieux;15;90;104
02073;Berry-au-Bac;39;201;240
02074;Bertaucourt-Epourdon;10;229;239
02075;Berthenicourt;12;61;73
02076;Bertricourt;12;55;67
02077;Berzy-le-Sec;21;165;185
02078;Besmé;0;67;67
02079;Besmont;16;42;58
02080;Besny-et-Loizy;10;129;139
02081;Béthancourt-en-Vaux;16;203;219
02082;Beugneux;10;34;44
02083;Beuvardes;44;277;321
02084;Bézu-le-Guéry;45;105;150
02085;Bézu-Saint-Germain;77;418;495
02086;Bichancourt;45;404;449
02087;Bieuxy;0;10;10
02088;Bièvres;9;37;46
02089;Billy-sur-Aisne;41;389;430
02090;Billy-sur-Ourcq;20;80;100
02091;Blanzy-lès-Fismes;5;31;36
02093;Blérancourt;150;300;451
02094;Blesmes;38;117;155
02095;Bohain-en-Vermandois;666;830;1496
02096;Bois-lès-Pargny;15;69;84
02097;Boncourt;25;85;110
02098;Bonneil;56;162;217
02099;Bonnesvalyn;10;140;150
02100;Bony;15;15;30
02101;Bosmont-sur-Serre;15;40;56
02102;Bouconville-Vauclair;10;57;67
02103;Boué;218;233;451
02104;Bouffignereux;10;20;30
02105;Bouresches;15;90;105
02106;Bourg-et-Comin;62;207;269
02107;Bourguignon-sous-Coucy;4;24;27
02108;Bourguignon-sous-Montbavin;0;63;63
02109;La Bouteille;70;164;234
02110;Braine;341;448;789
02111;Brancourt-en-Laonnois;50;219;269
02112;Brancourt-le-Grand;46;189;235
02114;Brasles;101;399;500
02115;Braye-en-Laonnois;16;75;90
02116;Braye-en-Thiérache;5;24;29
02117;Bray-Saint-Christophe;0;26;26
02118;Braye;0;45;45
02119;Brécy;30;150;180
02120;Brenelle;0;75;75
02121;Breny;5;103;108
02122;Brie;0;20;20
02123;Brissay-Choigny;30;93;124
02124;Brissy-Hamégicourt;25;262;286
02125;Brumetz;15;75;90
02126;Brunehamel;64;69;133
02127;Bruyères-sur-Fère;26;49;75
02128;Bruyères-et-Montbérault;140;525;665
02129;Bruys;4;4;8
02130;Bucilly;14;33;48
02131;Bucy-le-Long;135;668;803
02132;Bucy-lès-Cerny;0;79;79
02133;Bucy-lès-Pierrepont;40;128;167
02134;Buire;40;269;309
02135;Buironfosse;174;240;413
02136;Burelles;25;40;65
02137;Bussiares;0;85;85
02138;Buzancy;30;59;89
02139;Caillouël-Crépigny;30;170;200
02140;Camelin;45;125;170
02141;La Capelle;319;260;579
02142;Castres;5;110;115
02143;Le Catelet;31;56;87
02144;Caulaincourt;5;46;51
02145;Caumont;35;185;220
02146;Celles-lès-Condé;12;12;24
02148;Celles-sur-Aisne;16;133;149
02149;Cerizy;0;15;15
02150;Cerny-en-Laonnois;10;35;45
02151;Cerny-lès-Bucy;0;54;54
02152;Cerseuil;5;50;55
02153;Cessières;45;185;230
02154;Chacrise;40;120;161
02155;Chaillevois;10;65;75
02156;Chalandry;10;68;78
02157;Chambry;75;305;380
02158;Chamouille;30;126;157
02159;Champs;40;70;110
02160;Chaourse;55;124;179
02162;La Chapelle-sur-Chézy;25;90;115
02163;Charly-sur-Marne;489;656;1145
02164;Le Charmel;15;130;145
02165;Charmes;84;454;538
02166;Chartèves;25;128;153
02167;Chassemy;10;362;372
02168;Château-Thierry;2820;2200;5021
02169;Châtillon-lès-Sons;31;26;57
02170;Châtillon-sur-Oise;10;40;50
02171;Chaudardes;0;46;46
02172;Chaudun;23;79;102
02173;Chauny;1994;1863;3857
02174;Chavignon;75;235;310
02175;Chavigny;12;31;43
02176;Chavonne;15;90;104
02177;Chérêt;10;31;41
02178;Chermizy-Ailles;10;42;52
02179;Chéry-Chartreuve;10;150;160
02180;Chéry-lès-Pouilly;40;230;270
02181;Chéry-lès-Rozoy;5;16;22
02182;Chevennes;16;54;70
02183;Chevregny;16;106;121
02184;Chevresis-Monceau;20;112;133
02185;Chézy-en-Orxois;25;141;166
02186;Chézy-sur-Marne;179;441;620
02187;Chierry;89;335;424
02188;Chigny;20;49;69
02189;Chivres-en-Laonnois;46;155;201
02190;Chivres-Val;21;247;267
02191;Chivy-lès-Étouvelles;39;182;222
02192;Chouy;35;118;153
02193;Cierges;0;27;27
02194;Cilly;11;76;87
02195;Ciry-Salsogne;90;300;390
02196;Clacy-et-Thierret;5;157;163
02197;Clairfontaine;55;164;219
02198;Clamecy;5;84;88
02199;Clastres;45;217;262
02200;Clermont-les-Fermes;15;15;31
02201;Cuvres-et-Valsery;26;128;154
02203;Coincy;102;395;497
02204;Coingt;10;20;30
02205;Colligis-Crandelain;20;110;130
02206;Colonfay;10;21;31
02207;Commenchon;10;95;105
02208;Concevreux;30;125;155
02209;Condé-en-Brie;119;168;286
02210;Condé-sur-Aisne;15;180;195
02211;Condé-sur-Suippe;9;106;116
02212;Condren;61;233;293
02213;Connigis;44;93;137
02214;Contescourt;5;25;30
02215;Corbeny;93;274;367
02216;Corcy;20;102;123
02217;Coucy-le-Château-Auffrique;137;224;362
02218;Coucy-lès-Eppes;65;189;254
02219;Coucy-la-Ville;10;70;80
02220;Coulonges-Cohan;65;125;190
02221;Coupru;5;75;80
02222;Courbes;5;0;5
02223;Courboin;25;138;163
02224;Courcelles-sur-Vesle;41;77;119
02225;Courchamps;0;36;36
02226;Courmelles;34;596;631
02227;Courmont;15;46;61
02228;Courtemont-Varennes;14;94;108
02229;Courtrizy-et-Fussigny;5;20;25
02230;Couvrelles;15;65;80
02231;Couvron-et-Aumencourt;29;333;362
02232;Coyolles;45;70;115
02233;Cramaille;9;70;80
02234;Craonne;5;20;25
02235;Craonnelle;0;40;40
02236;Crécy-au-Mont;36;94;130
02237;Crécy-sur-Serre;169;331;500
02238;Crépy;103;541;644
02239;Crézancy;34;405;440
02240;Croix-Fonsomme;15;80;95
02241;La Croix-sur-Ourcq;0;40;40
02242;Crouttes-sur-Marne;64;238;302
02243;Crouy;184;833;1017
02244;Crupilly;0;5;5
02245;Cuffies;96;494;590
02246;Cugny;36;231;267
02248;Cuirieux;12;55;67
02249;Cuiry-Housse;16;26;42
02250;Cuiry-lès-Chaudardes;5;14;19
02251;Cuiry-lès-Iviers;5;5;10
02252;Cuissy-et-Geny;0;24;24
02253;Cuisy-en-Almont;32;140;172
02254;Cutry;4;52;56
02255;Cys-la-Commune;10;39;49
02256;Dagny-Lambercy;5;26;31
02257;Dallon;17;170;186
02258;Dammard;47;125;172
02259;Dampleux;22;139;161
02260;Danizy;23;225;248
02261;Dercy;25;120;145
02262;Deuillet;30;55;84
02263;Dhuizel;5;45;50
02264;Dizy-le-Gros;80;190;271
02265;Dohis;5;25;30
02266;Dolignon;10;16;26
02267;Dommiers;5;128;133
02268;Domptin;64;204;268
02269;Dorengt;15;60;75
02270;Douchy;12;46;58
02271;Dravegny;5;59;65
02272;Droizy;5;30;35
02273;Dury;25;80;105
02274;Ébouleau;16;73;88
02275;Effry;20;105;125
02276;Englancourt;16;33;49
02277;Épagny;10;115;125
02278;Éparcy;11;5;16
02279;Épaux-Bézu;50;205;255
02280;Épieds;25;146;171
02281;L'Épine-aux-Bois;35;90;125
02282;Eppes;30;150;180
02283;Erlon;20;49;69
02284;Erloy;0;23;23
02286;Esquéhéries;65;243;308
02287;Essigny-le-Grand;31;403;434
02288;Essigny-le-Petit;35;95;130
02289;Essises;10;182;192
02290;Essômes-sur-Marne;268;954;1222
02291;Estrées;10;141;151
02292;Étampes-sur-Marne;65;520;585
02293;Étaves-et-Bocquiaux;31;172;203
02294;Étouvelles;25;55;80
02295;Étréaupont;107;251;358
02296;Étreillers;117;334;450
02297;Étrépilly;5;40;45
02298;Étreux;85;400;485
02299;Évergnicourt;75;235;310
02301;Faucoucourt;20;117;137
02302;Faverolles;28;108;136
02303;Fayet;26;299;325
02304;La Fère;370;496;866
02305;Fère-en-Tardenois;366;602;968
02306;La Ferté-Chevresis;49;186;235
02307;La Ferté-Milon;284;597;881
02308;Fesmy-le-Sart;41;168;209
02309;Festieux;59;266;325
02310;Fieulaine;16;84;100
02311;Filain;0;61;61
02312;La Flamengrie;162;386;548
02313;Flavigny-le-Grand-et-Beaurain;20;151;171
02315;Flavy-le-Martel;90;475;565
02316;Fleury;5;45;50
02317;Fluquières;10;89;99
02318;Folembray;127;482;608
02319;Fonsomme;25;170;195
02320;Fontaine-lès-Clercs;4;104;108
02321;Fontaine-lès-Vervins;109;278;387
02322;Fontaine-Notre-Dame;20;147;167
02323;Fontaine-Uterte;0;50;50
02324;Fontenelle;27;76;103
02326;Fontenoy;15;190;205
02327;Foreste;10;58;68
02328;Fossoy;38;276;314
02329;Fourdrain;20;180;200
02330;Francilly-Selency;39;118;157
02331;Franqueville;5;37;42
02332;Fresnes-en-Tardenois;5;105;110
02333;Fresnes;20;50;70
02334;Fresnoy-le-Grand;446;546;991
02335;Fressancourt;10;65;75
02336;Frières-Faillouël;45;367;412
02337;Froidestrées;26;62;88
02338;Froidmont-Cohartille;10;106;116
02339;Gandelu;52;243;295
02340;Gauchy;475;1315;1790
02341;Gercy;12;121;133
02342;Gergny;24;29;53
02343;Germaine;15;21;36
02345;Gibercourt;5;20;26
02346;Gizy;40;215;255
02347;Gland;55;141;196
02349;Goudelancourt-lès-Berrieux;0;14;14
02350;Goudelancourt-lès-Pierrepont;0;42;42
02351;Goussancourt;12;37;49
02352;Gouy;35;127;162
02353;Grandlup-et-Fay;30;80;111
02354;Grandrieux;6;17;22
02355;Gricourt;85;375;460
02356;Grisolles;0;75;75
02357;Gronard;10;26;36
02358;Grougis;15;90;105
02359;Grugies;60;555;615
02360;Guignicourt;264;626;890
02361;Guise;780;500;1280
02362;Guivry;31;71;102
02363;Guny;45;115;160
02364;Guyencourt;9;71;81
02366;Hannapes;0;115;115
02367;Happencourt;5;31;36
02368;Haramont;32;198;230
02369;Harcigny;30;71;102
02370;Hargicourt;35;159;193
02371;Harly;72;482;553
02372;Hartennes-et-Taux;12;173;186
02373;Hary;12;88;100
02374;Lehaucourt;51;286;337
02375;Hautevesnes;5;58;63
02376;Hauteville;20;57;77
02377;Haution;44;30;74
02378;La Hérie;15;25;39
02379;Le Hérie-la-Viéville;35;65;100
02380;Hinacourt;16;5;22
02381;Hirson;1409;958;2367
02382;Holnon;113;494;608
02383;Homblières;71;549;620
02384;Houry;0;8;8
02385;Housset;15;35;50
02386;Iron;5;81;86
02387;Itancourt;108;342;450
02388;Iviers;40;60;100
02389;Jaulgonne;55;240;295
02390;Jeancourt;28;84;112
02391;Jeantes;31;78;109
02392;Joncourt;15;115;130
02393;Jouaignes;0;67;67
02395;Jumencourt;5;53;58
02396;Jumigny;4;20;24
02397;Jussy;98;376;474
02398;Juvigny;29;73;102
02399;Juvincourt-et-Damary;34;229;263
02400;Laffaux;0;75;75
02401;Laigny;49;49;99
02402;Lanchy;0;20;20
02403;Landifay-et-Bertaignemont;12;71;83
02404;Landouzy-la-Cour;41;36;76
02405;Landouzy-la-Ville;58;133;191
02406;Landricourt;0;45;45
02407;Laniscourt;5;70;75
02408;Laon;5368;2748;8117
02409;Lappion;15;114;129
02410;Largny-sur-Automne;10;112;122
02411;Latilly;15;70;85
02412;Launoy;8;34;42
02413;Laval-en-Laonnois;5;115;120
