CODGEO;LIBGEO;C15_ACTOCC15P_ILT1;C15_ACTOCC15P_ILTAUT;C15_ACTOCC15P
08351;Quilly;0;20;20
08352;Raillicourt;15;76;91
08353;Rancennes;25;266;291
08354;Raucourt-et-Flaba;84;241;325
08355;Regniowez;52;100;152
08356;Remaucourt;20;66;86
08357;Remilly-Aillicourt;35;291;326
08358;Remilly-les-Pothées;15;93;108
08360;Renneville;17;50;66
08361;Renwez;125;635;760
08362;Rethel;1520;1202;2721
08363;Revin;1042;886;1928
08364;Rilly-sur-Aisne;0;30;30
08365;Rimogne;107;481;588
08366;Rocquigny;104;129;233
08367;Rocroi;342;542;884
08368;Roizy;35;79;114
08369;La Romagne;5;45;50
08370;Rouvroy-sur-Audry;69;183;252
08372;Rubigny;0;19;19
08373;Rumigny;40;60;100
08374;La Sabotterie;15;30;45
08375;Sachy;0;47;47
08376;Sailly;30;60;90
08377;Saint-Aignan;15;65;79
08378;Saint-Clément-à-Arnes;24;20;44
08379;Saint-Étienne-à-Arnes;25;75;100
08380;Saint-Fergeux;26;56;82
08381;Saint-Germainmont;75;171;246
08382;Saint-Jean-aux-Bois;24;24;48
08383;Saint-Juvin;10;31;41
08384;Saint-Lambert-et-Mont-de-Jeux;10;35;44
08385;Saint-Laurent;70;366;436
08386;Saint-Loup-en-Champagne;9;122;131
08387;Saint-Loup-Terrier;21;62;83
08388;Saint-Marceau;8;156;164
08389;Saint-Marcel;29;156;185
08390;Sainte-Marie;0;51;51
08391;Saint-Menges;34;388;421
08392;Saint-Morel;30;90;120
08393;Saint-Pierre-à-Arnes;10;10;20
08394;Saint-Pierremont;16;16;32
08395;Saint-Pierre-sur-Vence;5;45;50
08396;Saint-Quentin-le-Petit;11;45;56
08397;Saint-Remy-le-Petit;10;20;30
08398;Sainte-Vaubourg;5;34;39
08399;Sapogne-sur-Marche;5;40;45
08400;Sapogne-et-Feuchères;25;206;231
08401;Saulces-Champenoises;40;55;95
08402;Saulces-Monclin;38;274;312
08403;Sault-lès-Rethel;134;555;689
08404;Sault-Saint-Remy;29;43;71
08405;Sauville;6;94;100
08406;Savigny-sur-Aisne;40;109;148
08407;Séchault;15;5;20
08408;Sécheval;12;210;222
08409;Sedan;2691;2587;5278
08410;Semide;50;20;70
08411;Semuy;0;5;5
08412;Senuc;16;20;36
08413;Seraincourt;10;125;135
08415;Sery;5;80;85
08416;Seuil;23;43;67
08417;Sévigny-la-Forêt;19;136;156
08418;Sévigny-Waleppe;44;74;117
08419;Signy-l'Abbaye;172;243;414
08420;Signy-le-Petit;186;207;393
08421;Signy-Montlibert;5;35;40
08422;Singly;4;57;61
08424;Sommauthe;0;20;20
08425;Sommerance;10;0;10
08426;Son;5;34;39
08427;Sorbon;29;93;122
08428;Sorcy-Bauthémont;10;60;70
08429;Sormonne;35;194;229
08430;Stonne;0;12;12
08431;Sugny;0;25;25
08432;Sury;0;34;34
08433;Suzanne;25;5;30
08434;Sy;5;25;30
08435;Tagnon;85;324;408
08436;Taillette;25;100;124
08437;Tailly;15;55;70
08438;Taizy;0;37;37
08439;Tannay;30;35;65
08440;Tarzy;5;61;66
08444;Tétaigne;20;30;50
08445;Thelonne;10;161;171
08446;Thénorgues;27;16;43
08448;Thilay;146;282;427
08449;Thin-le-Moutier;70;205;275
08450;This;30;75;105
08451;Le Thour;30;124;154
08452;Thugny-Trugny;34;73;107
08453;Toges;5;14;19
08454;Touligny;10;35;45
08455;Tourcelles-Chaumont;4;16;20
08456;Tournavaux;15;115;130
08457;Tournes;55;405;460
08458;Tourteron;10;40;50
08459;Tremblois-lès-Carignan;5;65;70
08460;Tremblois-lès-Rocroi;5;37;43
08461;Vandy;5;111;116
08462;Vaux-Champagne;10;25;36
08463;Vaux-en-Dieulet;15;15;29
08464;Vaux-lès-Mouron;0;46;46
08465;Vaux-lès-Rubigny;8;4;12
08466;Vaux-lès-Mouzon;17;28;45
08467;Vaux-Montreuil;0;40;40
08468;Vaux-Villaine;24;67;91
08469;Vendresse;81;165;246
08470;Verpel;0;15;15
08471;Verrières;5;5;10
08472;Viel-Saint-Remy;39;100;139
08473;Vieux-lès-Asfeld;12;120;132
08476;Villers-devant-le-Thour;30;126;156
08477;Villers-devant-Mouzon;9;37;47
08478;Villers-le-Tilleul;4;97;101
